id,year,wardno,noofoccupidhouses,noofhouseholds,totalpop,totalmale,totalfemale,totalcaste,malecaste,femalecaste,totaltribes,maletribes,femaletribes,totalliterates,maleliterates,femaleliterates,totalilliterates,maleilliterates,femaleilliterates
187,2011,27,3492,3502,16116,8113,8003,1465,727,738,193,99,94,13407,6953,6454,2709,1160,1549
188,2011,28,4394,4404,22212,11614,10598,5047,2587,2460,97,49,48,14212,8063,6149,8000,3551,4449
189,2011,29,3523,3533,15820,8217,7603,1191,588,603,100,58,42,11933,6486,5447,3887,1731,2156
190,2011,30,7839,7849,36004,18849,17155,5480,2849,2631,305,148,157,26775,14975,11800,9229,3874,5355
191,2011,31,3959,3969,17590,9439,8151,3158,1629,1529,148,76,72,12153,6991,5162,5437,2448,2989
192,2011,32,3791,3801,18172,9455,8717,1547,795,752,106,59,47,14030,7676,6354,4142,1779,2363
193,2011,33,2171,2181,9858,5035,4823,184,99,85,33,18,15,8529,4402,4127,1329,633,696
194,2011,34,4117,4127,19465,10120,9345,4670,2320,2350,265,125,140,14764,8151,6613,4701,1969,2732
195,2011,35,2543,2553,12802,6696,6106,8075,4207,3868,30,13,17,8179,4794,3385,4623,1902,2721
196,2011,36,3062,3072,14924,7700,7224,2079,1043,1036,118,58,60,11886,6488,5398,3038,1212,1826
197,2011,37,3217,3227,13759,6934,6825,709,374,335,66,32,34,12047,6160,5887,1712,774,938
198,2011,38,2565,2575,12785,6540,6245,1930,967,963,97,48,49,10279,5605,4674,2506,935,1571
199,2011,39,6451,6461,26879,14498,12381,2953,1541,1412,342,179,163,17081,10290,6791,9798,4208,5590
200,2011,40,3269,3279,15495,7959,7536,6477,3266,3211,161,83,78,9716,5537,4179,5779,2422,3357
201,2011,41,2708,2718,12724,6516,6208,2757,1388,1369,151,85,66,9146,5218,3928,3578,1298,2280
202,2011,42,3729,3739,16178,8284,7894,2452,1242,1210,124,69,55,12356,6631,5725,3822,1653,2169
203,2011,43,3803,3813,15417,8023,7394,814,392,422,112,69,43,12999,6958,6041,2418,1065,1353
204,2011,44,2835,2845,11763,5554,6209,453,193,260,24,10,14,10128,4892,5236,1635,662,973
205,2011,45,3643,3653,17103,9010,8093,1319,674,645,310,171,139,12217,7138,5079,4886,1872,3014
206,2011,46,3108,3118,12092,6265,5827,689,369,320,11,7,4,10860,5722,5138,1232,543,689
207,2011,47,4230,4240,16636,8533,8103,311,165,146,54,30,24,13945,7316,6629,2691,1217,1474
208,2011,48,5551,5561,22195,11209,10986,1181,592,589,198,113,85,17837,9265,8572,4358,1944,2414
209,2011,49,5809,5819,26479,13026,13453,855,392,463,156,76,80,21933,11058,10875,4546,1968,2578
210,2011,50,4543,4553,20189,11026,9163,1025,545,480,253,147,106,14178,8410,5768,6011,2616,3395
211,2011,51,6897,6907,27687,14236,13451,1678,872,806,163,82,81,20560,10838,9722,7127,3398,3729
212,2011,52,4346,4356,18512,9935,8577,2074,1111,963,125,65,60,14321,8138,6183,4191,1797,2394
213,2011,53,4414,4424,18068,9418,8650,727,389,338,263,125,138,15284,8188,7096,2784,1230,1554
214,2011,54,7653,7663,32421,17342,15079,1938,975,963,234,131,103,24039,13793,10246,8382,3549,4833
215,2011,55,5020,5030,20346,10556,9790,1155,596,559,66,37,29,16636,8921,7715,3710,1635,2075
216,2011,56,5632,5642,23993,13007,10986,2660,1404,1256,1247,641,606,16503,9694,6809,7490,3313,4177
217,2011,57,4320,4330,18425,9507,8918,2463,1267,1196,262,134,128,13094,7208,5886,5331,2299,3032
218,2011,58,2365,2375,9704,5037,4667,561,280,281,251,126,125,8304,4435,3869,1400,602,798
219,2011,59,3659,3669,17531,9128,8403,1252,655,597,317,169,148,12259,6978,5281,5272,2150,3122
220,2011,60,2838,2848,12440,6493,5947,1366,703,663,96,58,38,10669,5702,4967,1771,791,980
221,2011,61,2985,2995,13643,7199,6444,908,465,443,444,228,216,10893,6043,4850,2750,1156,1594
222,2011,62,3020,3030,15430,7952,7478,3139,1612,1527,134,71,63,10584,5905,4679,4846,2047,2799
223,2011,63,2724,2734,13502,7053,6449,1917,994,923,115,55,60,9994,5659,4335,3508,1394,2114
224,2011,64,2950,2960,14371,7450,6921,3784,1903,1881,103,51,52,9072,5247,3825,5299,2203,3096
225,2011,65,3086,3096,15994,8228,7766,2637,1317,1320,76,40,36,10638,5990,4648,5356,2238,3118
226,2011,66,2589,2599,13066,6742,6324,1594,812,782,97,50,47,10108,5591,4517,2958,1151,1807
227,2011,67,2651,2661,13800,6908,6892,4294,2093,2201,51,23,28,9747,5374,4373,4053,1534,2519
228,2011,68,1733,1743,8469,4380,4089,1761,903,858,77,39,38,6173,3437,2736,2296,943,1353
229,2011,69,3365,3375,15756,8080,7676,4454,2306,2148,213,123,90,11433,6326,5107,4323,1754,2569
230,2011,70,3026,3036,14848,7499,7349,2224,1150,1074,116,67,49,11406,6095,5311,3442,1404,2038
231,2011,71,3010,3020,15016,7993,7023,3511,1783,1728,179,99,80,10321,6088,4233,4695,1905,2790
232,2011,72,2083,2093,11754,5917,5837,2601,1276,1325,71,35,36,8882,4765,4117,2872,1152,1720
233,2011,73,2325,2335,11208,5959,5249,1025,537,488,57,35,22,9629,5231,4398,1579,728,851
234,2011,74,2747,2757,12671,6366,6305,147,70,77,146,67,79,11094,5716,5378,1577,650,927
235,2011,75,2146,2156,10916,5444,5472,179,90,89,31,19,12,9232,4751,4481,1684,693,991
236,2011,76,2073,2083,11155,5588,5567,912,450,462,9,4,5,9049,4823,4226,2106,765,1341
237,2011,77,1997,2007,11822,5822,6000,4704,2336,2368,50,27,23,8745,4693,4052,3077,1129,1948
238,2011,78,1913,1923,10816,5495,5321,1123,567,556,75,35,40,8415,4620,3795,2401,875,1526
239,2011,79,2044,2054,9911,4885,5026,473,228,245,6,3,3,8374,4286,4088,1537,599,938
240,2011,80,2425,2435,12743,6485,6258,2383,1187,1196,8,4,4,10154,5475,4679,2589,1010,1579
241,2011,81,2250,2260,12365,6311,6054,2961,1471,1490,104,48,56,7947,4541,3406,4418,1770,2648
242,2011,82,2204,2214,11838,6104,5734,2227,1143,1084,127,68,59,8553,4787,3766,3285,1317,1968
243,2011,83,1425,1435,8099,4169,3930,1634,820,814,16,9,7,4885,2811,2074,3214,1358,1856
244,2011,84,3141,3151,18337,9292,9045,6335,3188,3147,8,5,3,11653,6575,5078,6684,2717,3967
245,2011,85,3067,3077,15045,7594,7451,3202,1620,1582,109,54,55,10738,5821,4917,4307,1773,2534
246,2011,86,3480,3490,17510,9153,8357,2346,1205,1141,178,91,87,12041,6826,5215,5469,2327,3142
247,2011,87,2398,2408,11719,5945,5774,324,171,153,51,26,25,10152,5275,4877,1567,670,897
248,2011,88,2267,2277,11564,5826,5738,1472,735,737,140,64,76,8833,4807,4026,2731,1019,1712
249,2011,89,2307,2317,10842,5469,5373,1319,657,662,88,42,46,8625,4633,3992,2217,836,1381
